Language,Voicing and Gaps in Plosive Systems,Voicing in Plosives and Fricatives,Uvular Consonants,Presence of Uncommon Consonants,Lateral Consonants,Glottalized Consonants,"Consonant Inventories
", Vowel Quality Inventories,Front Rounded Vowels,Syllable Structure,Família,Gènere,Countries,Macroarea,Geoposition
Abipón,1,1,3,1,1,1,2,2,1,3,Guaicuruan,Abipon,['Argentina'],South America,"['-29., -61.']"
Abkhaz,2,4,2,4,1,3,5,1,1,3,Northwest Caucasian,Northwest Caucasian,['Georgia'],Eurasia,"['43.0833333333, 41.']"
Aché,1,1,1,1,2,1,1,2,1,1,Maweti-Guarani,Tupian,['Paraguay'],South America,"['-25.25, -55.1666666667']"
Acoma,1,1,1,2,5,2,5,2,1,2,Keresan,Keresan,['UnitedStates'],North America,"['34.9166666667, -107.583333333']"
Aghem,4,4,1,3,1,1,3,3,1,2,Niger-Congo,Wide Grassfields,['Cameroon'],Africa,"['6.66666666667, 10.']"
Ahtna,1,3,3,1,4,3,4,2,1,3,Na-Dene,Athapaskan,['UnitedStates'],North America,"['62., -145.']"
Aikaná,2,4,1,1,2,1,3,2,2,2,Aikaná,Aikaná,['Brazil'],South America,"['-12.6666666667, -60.6666666667']"
Ainu,1,1,1,1,5,1,1,2,1,2,Ainu,Ainu,['Japan'],Eurasia,"['43., 143.']"
Aizi,2,4,1,3,1,4,3,3,1,3,Niger-Congo,Kru,['IvoryCoast'],Africa,"['5.25, -4.5']"
Akan,2,2,1,1,5,1,3,3,1,2,Niger-Congo,Tano,['Ghana'],Africa,"['6.5, -1.25']"
Akawaio,2,4,1,1,5,1,1,3,1,2,Cariban,Cariban,['Guyana'],South America,"['6., -59.5']"
Alabama,1,2,1,1,3,1,1,1,1,3,Muskogean,Muskogean,['UnitedStates'],North America,"['32.3333333333, -87.4166666667']"
Alawa,1,1,1,1,1,1,3,1,1,3,Mangarrayi-Maran,Mara,['Australia'],Australia,"['-15.1666666667, 134.25']"
Albanian,2,4,1,2,1,1,3,3,3,3,Indo-European,Albanian,"['Albania', 'Serbia']",Eurasia,"['41., 20.']"
Aleut (Eastern),1,3,3,2,1,1,3,1,1,3,Eskimo-Aleut,Aleut,['UnitedStates'],North America,"['54.75, -164.']"
Alladian,2,4,1,3,1,1,3,3,1,2,Niger-Congo,Avikam-Alladian,['IvoryCoast'],Africa,"['5.16666666667, -4.33333333333']"
Amele,4,2,1,3,1,1,2,2,1,2,Trans-New Guinea,Mabuso,['PapuaNewGuinea'],Papunesia,"['-5.25, 145.583333333']"
Amharic,2,2,1,1,1,3,4,3,1,2,Afro-Asiatic,Semitic,['Ethiopia'],Africa,"['10., 38.']"
Amo,2,4,1,3,1,1,3,3,1,2,Niger-Congo,Central Kainji,['Nigeria'],Africa,"['10.3333333333, 8.66666666667']"
Amuesha,1,3,1,1,2,1,3,1,1,2,Arawakan,Yanesha',Unknown,Unknown,Unknown
Amuzgo,1,1,1,1,1,1,3,3,1,3,Oto-Manguean,Amuzgoan,['Mexico'],North America,"['16.8333333333, -98.']"
Andoke,5,2,1,1,5,1,1,3,1,1,Andoke,Andoke,['Colombia'],South America,"['-0.666666666667, -72.']"
Angaataha,1,1,1,1,2,1,1,2,1,2,Trans-New Guinea,Angaataha,Unknown,Unknown,Unknown
Angas,2,4,1,1,1,4,4,3,1,3,Afro-Asiatic,West Chadic,['Nigeria'],Africa,"['9.5, 9.5']"
Ani,2,2,2,5,5,3,5,2,1,2,Khoe-Kwadi,Khoe-Kwadi,Unknown,Unknown,Unknown
Ao,1,3,1,1,1,1,1,2,1,2,Sino-Tibetan,Central Naga,['India'],Eurasia,"['26.5833333333, 94.6666666667']"
Apurina,1,1,1,1,5,1,1,2,1,1,Arawakan,Purus,Unknown,Unknown,Unknown
Arabela,1,1,1,1,5,1,1,2,1,2,Zaparoan,Zaparoan,['Peru'],South America,"['-2., -75.1666666667']"
Arabic (Egyptian),4,4,3,4,1,1,4,2,1,3,Afro-Asiatic,Semitic,['Egypt'],Africa,"['30., 31.']"
Araona,5,4,1,1,1,1,3,1,1,1,Pano-Tacanan,Tacanan,['Bolivia'],South America,"['-12.3333333333, -67.75']"
Arapesh (Mountain),2,2,1,1,1,1,2,3,1,2,Torricelli,Kombio-Arapesh,['PapuaNewGuinea'],Papunesia,"['-3.46666666667, 143.166666667']"
Archi,1,4,3,4,3,3,5,2,1,3,Nakh-Daghestanian,Lezgic,['Russia'],Eurasia,"['42., 46.8333333333']"
Arrernte (Mparntwe),1,1,1,1,1,1,5,1,1,2,Pama-Nyungan,Central Pama-Nyungan,['Australia'],Australia,"['-24., 136.']"
Asmat,1,1,1,1,5,1,1,2,1,2,Asmat-Kamrau Bay,Asmat-Kamrau Bay,['Indonesia'],Papunesia,"['-5.5, 138.5']"
Atayal,1,3,2,4,1,1,3,2,1,3,Austronesian,Atayalic,['Taiwan'],Papunesia,"['24.5, 121.333333333']"
Avar,1,4,3,4,3,3,5,2,1,3,Nakh-Daghestanian,Avar-Andic-Tsezic,"['Russia', 'Azerbaijan']",Eurasia,"['42.5, 46.5']"
Awa Pit,1,3,1,1,3,1,1,1,1,2,Barbacoan,Barbacoan,"['Ecuador', 'Colombia']",South America,"['1.5, -78.25']"
Aymara (Central),1,1,3,1,1,3,4,1,1,2,South America,Aymara,"['Peru', 'Chile', 'Bolivia']",South America,"['-17., -69.']"
Azerbaijani,2,4,1,1,1,1,3,3,2,2,Altaic,Turkic,"['Azerbaijan', 'Iran']",Eurasia,"['40.5, 48.5']"
Bagirmi,2,2,1,1,1,4,4,3,1,2,Central Sudanic,Bongo-Bagirmi,['Chad'],Africa,"['11.6666666667, 16.']"
Bai,1,3,1,1,1,1,2,3,1,2,Sino-Tibetan,Macro-Bai,['China'],Eurasia,"['26., 100.']"
Bajau (Sama),2,2,1,1,1,1,4,2,1,2,Austronesian,Sama-Bajaw,['Indonesia'],Papunesia,"['-4.33333333333, 123.']"
Bakairí,2,4,1,1,1,1,2,3,1,1,Cariban,Cariban,['Brazil'],South America,"['-14., -55.']"
Bambara,2,4,1,1,1,1,3,3,1,1,Mande,Western Mande,['Mali'],Africa,"['12.5, -7.5']"
Bandjalang (Yugumbir),1,1,1,1,1,1,1,1,1,2,Pama-Nyungan,Southeastern Pama-Nyungan,['Australia'],Australia,"['-27.9166666667, 153.']"
Bardi,1,1,1,1,1,1,2,1,1,3,Nyulnyulan,Nyulnyulan,['Australia'],Australia,"['-16.5833333333, 122.916666667']"
Bashkir,2,4,3,2,1,1,4,3,2,3,Altaic,Turkic,['Russia'],Eurasia,"['53., 58.']"
Basque,2,2,1,1,1,1,3,2,1,3,Basque,Basque,"['France', 'Spain']",Eurasia,"['43., -3.']"
Batak (Karo),2,2,1,1,1,1,2,3,1,2,Austronesian,Northwest Sumatra-Barrier Islands,['Indonesia'],Papunesia,"['3.25, 98.25']"
Bawm,5,4,1,1,1,1,3,2,1,2,Sino-Tibetan,Kuki-Chin,"['Bangladesh', 'India', 'Myanmar']",Eurasia,"['22.5, 92.25']"
Beembe,1,3,1,1,1,1,2,2,1,2,Niger-Congo,Bantu,['RepublicCongo'],Africa,"['-3.91666666667, 14.0833333333']"
Beja,4,2,1,1,1,1,3,2,1,3,Afro-Asiatic,Beja,"['Eritrea', 'Sudan']",Africa,"['18., 36.']"
Bella Coola,1,1,3,1,1,3,4,1,1,3,Salishan,Bella Coola,['Canada'],North America,"['52.5, -126.666666667']"
Bengali,2,2,1,1,1,1,4,3,1,3,Indo-European,Indic,"['India', 'Bangladesh']",Eurasia,"['24., 90.']"
Berber (Middle Atlas),4,4,2,4,1,1,4,1,1,3,Afro-Asiatic,Berber,['Morocco'],Africa,"['33., -5.']"
Berta,1,1,1,2,1,3,3,2,1,2,Berta,Berta,"['Ethiopia', 'Sudan']",Africa,"['10.3333333333, 34.6666666667']"
Bété,2,4,1,3,1,4,3,3,1,2,Niger-Congo,Kru,['IvoryCoast'],Africa,"['6.25, -6.25']"
Birom,2,4,1,3,1,1,3,3,1,2,Niger-Congo,Benue-Congo Plateau,['Nigeria'],Africa,"['9.66666666667, 8.83333333333']"
Bisa,2,4,1,1,1,1,2,2,1,2,Mande,Eastern Mande,"['Ghana', 'BurkinaFaso']",Africa,"['11.5, -0.5']"
Bobo Madar� (Northern),2,4,1,3,1,1,3,3,1,1,Mande,Western Mande,Unknown,Unknown,Unknown
Bodo,2,4,1,1,1,1,2,2,1,2,Sino-Tibetan,Brahmaputran,['India'],Eurasia,"['26.8333333333, 92.']"
Bororo,2,2,1,1,5,1,1,3,1,1,Bororoan,Bororoan,['Brazil'],South America,"['-16., -57.']"
Brahui,2,4,1,1,1,1,3,2,1,3,Dravidian,Dravidian,['Pakistan'],Eurasia,"['28.5, 67.']"
Brao,1,1,1,4,1,4,3,3,1,3,Austro-Asiatic,Bahnaric,['Vietnam'],Eurasia,"['14.1666666667, 107.5']"
Breton,2,4,1,1,1,1,3,3,2,3,Indo-European,Celtic,['France'],Eurasia,"['48., -3.']"
Bru (Western),5,2,1,1,1,1,3,3,1,3,Austro-Asiatic,Katuic,['Laos'],Eurasia,"['16.75, 104.75']"
Bulgarian,2,4,1,1,1,1,3,2,1,3,Indo-European,Slavic,['Bulgaria'],Eurasia,"['42.5, 25.']"
Burarra,1,1,1,1,1,1,2,2,1,3,Mangrida,Burarran,['Australia'],Australia,"['-12.25, 134.583333333']"
Burmese,2,4,1,2,1,1,4,3,1,2,Sino-Tibetan,Burmese-Lolo,['Myanmar'],Eurasia,"['21., 96.']"
Burushaski,2,4,3,1,1,1,5,2,1,3,Burushaski,Burushaski,['Pakistan'],Eurasia,"['36.5, 74.5']"
Cacua,1,1,1,1,1,1,1,2,1,2,Cacua-Nukak,Cacua-Nukak,['Colombia'],South America,"['1.08333333333, -70.']"
Caddo,5,2,1,1,5,3,3,1,1,2,Caddoan,Caddo,['UnitedStates'],North America,"['33.3333333333, -93.5']"
Cahuilla,1,1,3,1,1,1,3,1,1,3,Uto-Aztecan,Northern Uto-Aztecan,['UnitedStates'],North America,"['33.5, -116.25']"
Campa (Axininca),1,1,1,1,5,1,2,1,1,2,Arawakan,Pre-Andine Arawakan,['Peru'],South America,"['-12., -74.']"
Camsá,2,2,1,1,1,1,3,2,1,3,Camsá,Camsá,['Colombia'],South America,"['1.16666666667, -77.']"
Canela,1,1,1,1,1,1,1,3,1,3,Macro-Ge,Je Setentrional,['Brazil'],South America,"['-7., -45.']"
Cantonese,1,1,1,1,1,1,3,3,2,2,Sino-Tibetan,Chinese,['China'],Eurasia,"['23., 113.']"
Carib,2,2,1,1,5,1,2,2,1,2,Cariban,Cariban,['Suriname'],South America,"['5.5, -56.']"
Catalan,2,4,1,1,1,1,3,3,1,2,Indo-European,Romance,['Spain'],Eurasia,"['41.75, 2.']"
Cayapa,2,2,1,1,1,1,3,1,1,1,Barbacoan,Barbacoan,['Ecuador'],South America,"['0.666666666667, -79.']"
Chamorro,2,2,1,1,1,1,3,2,1,2,Austronesian,Chamorro,['Guam'],Papunesia,"['13.45, 144.75']"
Cham (Western),1,1,1,1,1,4,3,3,1,3,Austronesian,Malayo-Sumbawan,['Cambodia'],Eurasia,"['12., 105.5']"
Chehalis (Upper),1,1,3,1,1,3,4,1,1,3,Salishan,Tsamosan,['UnitedStates'],North America,"['46.5833333333, -123.']"
Cherokee,1,1,1,1,1,1,1,2,1,2,Iroquoian,Southern Iroquoian,['UnitedStates'],North America,"['35.5, -83.5']"
Chickasaw,1,2,1,1,3,1,2,1,1,2,Muskogean,Muskogean,['UnitedStates'],North America,"['34., -88.']"
Chinantec (Lealao),2,2,1,1,1,1,3,2,1,2,Oto-Manguean,Chinantecan,['Mexico'],North America,"['17.3333333333, -95.9166666667']"
Chinantec (Quiotepec),1,3,1,2,1,8,4,3,2,1,Oto-Manguean,Chinantecan,['Mexico'],North America,"['17.5833333333, -96.6666666667']"
Chin (Tiddim),2,4,1,1,1,8,3,2,1,2,Sino-Tibetan,Kuki-Chin,['Myanmar'],Eurasia,"['23.3333333333, 93.6666666667']"
Chipewyan,1,3,1,2,3,3,5,2,1,2,Na-Dene,Athapaskan,['Canada'],North America,"['59., -106.']"
Chukchi,1,1,2,1,4,1,2,2,1,3,Chukotko-Kamchatkan,Northern Chukotko-Kamchatkan,['Russia'],Eurasia,"['67., -173.']"
Chuvash,2,4,1,1,1,1,3,3,2,3,Altaic,Turkic,['Russia'],Eurasia,"['55.5, 47.5']"
CiLuba,5,4,1,1,1,1,3,2,1,2,Niger-Congo,Bantu,['DemocraticRepublicCongo'],Africa,"['-6., 22.']"
Cocopa,1,1,1,1,3,1,3,1,1,3,Hokan,Yuman,"['Mexico', 'UnitedStates']",North America,"['32.3333333333, -115.']"
Comanche,1,1,1,1,5,1,1,2,1,2,Uto-Aztecan,Northern Uto-Aztecan,['UnitedStates'],North America,"['33.5, -101.5']"
Coos (Hanis),2,2,3,1,3,3,5,2,1,3,Oregon Coast,Coosan,['UnitedStates'],North America,"['43.5, -124.166666667']"
Cree (Plains),1,1,1,1,5,1,1,1,1,2,Algic,Algonquian,['Canada'],North America,"['54., -110.']"
Cubeo,5,2,1,2,5,1,1,2,1,1,Tucanoan,Tucanoan,['Colombia'],South America,"['1.33333333333, -70.5']"
Dadibi,1,1,1,1,5,1,1,2,1,2,Teberan-Pawaian,Teberan,['PapuaNewGuinea'],Papunesia,"['-6.55, 144.583333333']"
Daga,2,2,1,1,5,1,1,2,1,2,Trans-New Guinea,Daga,['PapuaNewGuinea'],Papunesia,"['-10., 149.333333333']"
Dagbani,2,4,1,3,1,1,3,2,1,2,Niger-Congo,Oti-Volta,['Ghana'],Africa,"['9.58333333333, -0.5']"
Dagur,2,4,1,1,1,1,3,3,3,3,Altaic,Mongolic,['China'],Eurasia,"['48., 124.']"
Daju (Dar Fur),2,2,4,1,1,4,3,2,1,2,Eastern Sudanic,Daju,['Sudan'],Africa,"['12.25, 25.25']"
Dan,2,4,1,3,1,4,3,3,1,2,Mande,Eastern Mande,"['Liberia', 'Guinea', 'IvoryCoast']",Africa,"['7.5, -8.']"
Dangaléat (Western),2,4,1,1,1,4,3,3,1,2,Afro-Asiatic,East Chadic,['Chad'],Africa,"['12.1666666667, 18.3333333333']"
Dani (Lower Grand Valley),1,1,1,1,1,1,1,3,1,2,Trans-New Guinea,Dani,['Indonesia'],Papunesia,"['-4.33333333333, 138.833333333']"
Darai,2,2,1,1,1,1,4,2,1,2,Indo-European,Indic,['Nepal'],Eurasia,"['24., 84.']"
Deti,2,2,1,5,5,5,5,2,1,2,Khoe-Kwadi,Khoe-Kwadi,['Botswana'],Africa,"['-20.5, 24.5']"
Dinka,2,2,1,1,1,1,3,3,1,2,Eastern Sudanic,Western Nilotic,['Sudan'],Africa,"['8.5, 28.']"
Diola-Fogny,2,2,1,1,1,1,3,3,1,3,Niger-Congo,Jola,"['Gambia', 'Senegal']",Africa,"['13., -16.25']"
Diyari,1,1,1,1,1,1,3,1,1,2,Pama-Nyungan,Central Pama-Nyungan,['Australia'],Australia,"['-28., 139.']"
Dizi,4,4,1,1,1,3,3,2,1,3,Afro-Asiatic,Dizoid,['Ethiopia'],Africa,"['6.16666666667, 36.5']"
Djapu,1,1,1,1,1,1,3,1,1,3,Pama-Nyungan,Western Pama-Nyungan,['Australia'],Australia,"['-12.6666666667, 136.']"
Dla (Proper),2,2,1,1,5,1,1,2,1,2,Senagi,Senagi,"['PapuaNewGuinea', 'Indonesia']",Papunesia,"['-3.58333333333, 141.']"
Dong (Southern),1,1,4,1,1,1,3,3,1,2,Tai-Kadai,Kam-Tai,Unknown,Unknown,Unknown
Doyayo,2,4,1,3,1,4,3,3,1,3,Niger-Congo,Samba-Duru,['Cameroon'],Africa,"['8.66666666667, 13.0833333333']"
Drehu,2,4,1,2,1,1,4,3,1,2,Austronesian,Oceanic,['NewCaledonia'],Papunesia,"['-21., 167.25']"
Dyirbal,1,1,1,1,1,1,1,1,1,2,Pama-Nyungan,Northern Pama-Nyungan,['Australia'],Australia,"['-17.8333333333, 145.583333333']"
Efik,3,2,1,3,5,1,1,3,1,2,Niger-Congo,Lower Cross,['Nigeria'],Africa,"['4.91666666667, 8.5']"
Ejagham,2,2,1,3,5,1,3,3,3,2,Niger-Congo,Ekoid-Mbe,"['Nigeria', 'Cameroon']",Africa,"['5.41666666667, 8.66666666667']"
Ekari,5,1,1,1,2,1,1,2,1,1,Trans-New Guinea,Paniai Lakes,['Indonesia'],Papunesia,"['-3.83333333333, 135.5']"
English,2,4,1,2,1,1,3,3,1,3,Indo-European,Germanic,"['UnitedKingdom', 'Ireland']",Eurasia,"['52., 0.']"
Epena Pedee,2,2,1,1,5,1,2,3,1,2,Choco,Choco,['Colombia'],South America,"['3., -77.']"
Evenki,2,2,1,1,1,1,2,2,1,2,Altaic,Tungusic,['Russia'],Eurasia,"['56., 125.']"
Ewe,2,4,1,3,1,1,4,3,1,2,Niger-Congo,Gbe,"['Togo', 'Ghana']",Africa,"['6.33333333333, 0.416666666667']"
Ewondo,4,4,1,3,1,1,4,3,1,2,Niger-Congo,Bantu,['Cameroon'],Africa,"['4., 12.']"
